"","Fishkill.Inv.Seq.No","site_id","WBIC","Station.Name","Waterbody.Name","County","State","Lat","Long","Investigation.Start.Date","Season","Season1","Year","Cause.Category","Cause.Type","Mortality.Code","Confidence.Of.Cause.Code","Cause.Group","Cause.Detail","Investigation.Start.Month","Min.Kill.Size","Max.Kill.Size","Bass","Bigmouth.Buffalo","Bowfin","Bluegill","Bullhead","Carp","Catfish","Chub","Cisco","Crappie","Dace","Darter","Dogfish","Drum","Freshwater.Drum","Gizzard.Shad","Golden.Shiner","Minnow","Muskies","Perch","Pike","Pumpkinseed","Round.Goby","Sculpin","Shorthead.Redhorse","Stickleback","Sturgeon","Suckerfish","Sunfish","Sunnies","Trout","Walleye","Brown.Trout","Channel.Catfish","Gar","Largemouth.Bass","Northern.Pike","Rainbow.Smelt","Rock.Bass","Sauger","Smallmouth.Bass","Stonecat","White.Sucker","Whitefish","Yellow.Perch","Acipenseridae","Amiidae","Catostomidae","Centrarchidae","Clupeidae","Cyprinidae","Esocidae","Gasterosteidae","Gobiidae","Ictaluridae","Lepisosteidae","Osmeridae","Percidae","Salmonidae","Sciaenidae"
"11",11,"nhd_6646370",NA,"East Toqua Lake","EAST TOQUA LAKE","BIG STONE","MN",45.56135133,-96.44396902,"2-Apr-03","Summer","Winter",2003,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","Apr","3","15","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"352",12,NA,726550,"MISSISSIPPI RIVER","WIGWAM SLOUGH","LA CROSSE","WI",NA,NA,"9-Apr-03","Summer","Winter",2003,"NATURAL","ENVIRONMENTAL CONDITION","SELECTIVE","KNOWN","INFECTIOUS","OTHER INFECTIOUS AGENT","Apr","UNKNOWN",NA,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"13",13,"nhd_10595596",NA,"Eagle Lake","EAGLE LAKE","CARVER","MN",44.19673204,-93.89609447,"14-Apr-03","Summer","Winter",2003,"NATURAL","ENVIRONMENTAL CONDITION","UNKNOWN","UNKNOWN","SUMMERKILL","DISSOLVED OXYGEN","Apr","UNKNOWN","UNKNOWN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",14,"nhd_1101490",NA,"Sweeney Lake","BASSETT CREEK","HENNEPIN","MN",44.99316937,-93.33847984,"15-Apr-03","Summer","Winter",2003,"NATURAL","ENVIRONMENTAL CONDITION","UNKNOWN","UNKNOWN","SUMMERKILL","DISSOLVED OXYGEN","Apr","1","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"17",15,"nhd_10595598",NA,"Madison Lake","MADISON LAKE","BLUE EARTH","MN",44.19011573,-93.80212869,"16-Apr-03","Summer","Winter",2003,"NATURAL","ENVIRONMENTAL CONDITION","UNKNOWN","UNKNOWN","SUMMERKILL","DISSOLVED OXYGEN","Apr","UNKNOWN","UNKNOWN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",16,"nhd_4250586",NA,"Lake Sarah","LAKE SARAH","HENNEPIN","MN",45.06433738,-93.68174837,"29-Apr-03","Summer","Winter",2003,"NATURAL","INFECTIOUS AGENTS","UNKNOWN","UNKNOWN","INFECTIOUS","COLUMNARIS","Apr","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"21",17,"nhd_4412654",NA,"Thompson Lake","ELK LAKE","GRANT","MN",45.9062865,-95.8103655,"28-May-03","Summer","Winter",2003,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","May","UNKNOWN","UNKNOWN","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"23",18,"nhd_2031703",NA,"Fox Lake","FOX LAKE","RICE","MN",44.39299465,-93.32393543,"28-May-03","Summer","Winter",2003,"NATURAL","INFECTIOUS AGENTS","UNKNOWN","UNKNOWN","INFECTIOUS","COLUMNARIS","May","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",19,"nhd_2031671",NA,"Circle Lake","CIRCLE LAKE","RICE","MN",44.41499366,-93.34159494,"28-May-03","Summer","Winter",2003,"NATURAL","INFECTIOUS AGENTS","UNKNOWN","UNKNOWN","INFECTIOUS","COLUMNARIS","May","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",20,"nhd_4141086",NA,"Lake Emily","HALLET'S POND","NICOLLET","MN",44.30945245,-93.91844382,"17-Jun-03","Summer","Summer",2003,"NATURAL","INFECTIOUS AGENTS","UNKNOWN","UNKNOWN","INFECTIOUS","COLUMNARIS","Jun","UNKNOWN","UNKNOWN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
