Site,site_id,Prmnn_I,GNIS_ID,GNIS_Nm,ReachCd,FType,FCode,Lat,Long
65,nhd_1099108,1099108,649986,Rice Lake,7.01E+12,390,39009,45.11470346,-93.46645338
66,nhd_1099120,1099120,,,7.01E+12,390,39004,45.1136989,-93.47966686
67,nhd_1099126,1099126,642699,Deep Lake,7.01E+12,390,39004,45.11416001,-93.08278891
68,nhd_1099136,1099136,653874,Weaver Lake,7.01E+12,390,39004,45.10976393,-93.50128226
69,nhd_1099140,1099140,652458,Spring Lake,7.01E+12,390,39004,45.10908146,-93.22874702
70,nhd_1099156,1099156,653374,Turtle Lake,7.01E+12,390,39009,45.09908771,-93.13751855
71,nhd_1099170,1099170,649556,Pleasant Lake,7.01E+12,390,39009,45.09707627,-93.09820986
72,nhd_1099172,1099172,643677,Fish Lake,7.01E+12,390,39004,45.09179754,-93.46332218
73,nhd_1099180,1099180,641115,Charley Lake,7.01E+12,390,39004,45.10025944,-93.1188802
74,nhd_1099206,1099206,641454,Cook Lake,7.01E+12,390,39004,45.091699,-93.52021335
75,nhd_1099224,1099224,644137,Gilfillan Lake,7.01E+12,390,39004,45.08395436,-93.07948995
76,nhd_1099232,1099232,641003,Cedar Island Lake,7.01E+12,390,39004,45.08384211,-93.44078108
77,nhd_1099234,1099234,640167,Birch Lake,7.01E+12,390,39004,45.082745,-93.04067417
78,nhd_1099240,1099240,647043,Long Lake,7.01E+12,390,39004,45.07542896,-93.20247549
79,nhd_1099242,1099242,645750,Jubert Lake,7.01E+12,390,39004,45.07926538,-93.61630628
80,nhd_1099260,1099260,643017,Eagle Lake,7.01E+12,390,39004,45.07457091,-93.41282227
81,nhd_1099274,1099274,648066,Moore Lake,7.01E+12,390,39004,45.0764604,-93.24775891
82,nhd_1099278,1099278,,,7.01E+12,390,39004,45.07599011,-93.24310932
83,nhd_1099282,1099282,652195,Snail Lake,7.01E+12,390,39004,45.07325554,-93.12605533
84,nhd_1099288,1099288,652760,Sucker Lake,7.01E+12,390,39004,45.0743373,-93.09707154
85,nhd_1099316,1099316,644246,Goose Lake,7.01E+12,390,39004,45.06947947,-93.01733835
86,nhd_1099320,1099320,,,7.01E+12,390,39004,45.06806414,-93.02471126
87,nhd_1099322,1099322,649411,Pike Lake,7.01E+12,390,39004,45.06751284,-93.20814257
88,nhd_1099324,1099324,649410,Pike Lake,7.01E+12,390,39004,45.06603279,-93.41913624
89,nhd_1099338,1099338,653586,Valentine Lake,7.01E+12,390,39004,45.06036412,-93.16697186
90,nhd_1099348,1099348,647717,Meadow Lake,7.01E+12,390,39004,45.06094296,-93.38722308
91,nhd_1099350,1099350,648230,Lake Camelot,7.01E+12,390,39004,45.0595966,-93.458766
92,nhd_1099352,1099352,653583,Vadnais Lake,7.01E+12,390,39009,45.05093134,-93.09007069
93,nhd_1099370,1099370,639671,Bass Lake,7.01E+12,390,39004,45.05503776,-93.43318157
94,nhd_1099374,1099374,644063,Gem Lake,7.01E+12,390,39004,45.05850816,-93.04158003
95,nhd_1099380,1099380,,,7.01E+12,390,39004,45.05820458,-93.13363864
96,nhd_1099382,1099382,,,7.01E+12,390,39004,45.05222201,-93.10156228
97,nhd_1099384,1099384,653430,Twin Lakes,7.01E+12,390,39004,45.0528229,-93.33602502
98,nhd_1099390,1099390,645474,Island Lake,7.01E+12,390,39004,45.05350124,-93.13597683
99,nhd_1099392,1099392,649616,Pomerleau Lake,7.01E+12,390,39004,45.05254255,-93.46576633
100,nhd_1099420,1099420,645661,Lake Johanna,7.01E+12,390,39004,45.04309332,-93.17008051
101,nhd_1099424,1099424,,,7.01E+12,390,39004,45.04369137,-93.34018509
102,nhd_1099430,1099430,652051,Silver Lake,7.01E+12,390,39004,45.0442005,-93.22344946
103,nhd_1099432,1099432,653700,Lake Wabasso,7.01E+12,390,39004,45.04490803,-93.11576152
104,nhd_1099444,1099444,651291,Schmidt Lake,7.01E+12,390,39004,45.04024724,-93.432587
105,nhd_1099448,1099448,654193,Willow Lake,7.01E+12,390,39004,45.0419233,-93.04821055
106,nhd_1099450,1099450,649094,Lake Owasso,7.01E+12,390,39009,45.03514563,-93.12234022
107,nhd_1099454,1099454,648229,Mud Lake,7.01E+12,390,39004,45.04139364,-93.13800266
108,nhd_1099456,1099456,653418,Twin Lake,7.01E+12,390,39004,45.04032067,-93.08983473
109,nhd_1099458,1099458,650441,Ryan Lake,7.01E+12,390,39004,45.04014257,-93.32144706
