Event,Event_Original,County,State,Waterbody.Name,Station.Name,WBIC,Site.Seq.No,Swims.Station.Id,Fishkill.Inv.Seq.No,Investigation.Start.Date,Season,Season1,Year,Stream.Miles.or.Lake.Acres.Affected,Cause.Category,Cause.Type,Mortality.Code,Confidence.Of.Cause.Code,Cause.Group,Cause.Detail,Investigation.Start.Month,Min.Kill.Size,Max.Kill.Size,Sunnies,Bluegill,Crappie,Bass,Bullhead,Suckerfish,Trout,Gizzard.Shad,Round.Goby,Cisco,Pike,Snail,Muskies,Walleye,Carp,Freshwater.Drum,Perch,Catfish,Sculpin,Stickleback,Minnow,Bigmouth.Buffalo,Pumpkinseed,Drum,Darter,Dace,Chub,Crayfish,Shorthead.Redhorse,Frogs,Sunfish,Golden.Shiner,Bowfin,Dogfish,Sturgeon,Fish.Species
20,20,BROWN,WI,FOX RIVER,FOX RIVER,117900,104447,104447,722,14-Jun-07,Summer,Summer,2007,0.1,ANTHROPOGENIC,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Jun,Excludable,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,25,BROWN,WI,TWIN HILL CREEK,TWIN HILL CREEK,89600,104440,104440,63,19-Aug-05,Summer,Summer,2005,3,ANTHROPOGENIC,TOXICITY,TOTAL,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Aug,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
26,26,BROWN,WI,UNNAMED SINGLE-LINE STREAM T23N-R21E-S15,UNNAMED TRIB 200FT DS OF DORSET DR,5018176,51228391,10034354,2399,12-Aug-11,Summer,Summer,2011,2,NOT INVESTIGATED,UNKNOWN,SELECTIVE,UNKNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Aug,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
27,27,BUFFALO,WI,LITTLE BEAR CREEK,LITTLE BEAR CREEK,2048000,104422,104422,58,13-Jul-05,Summer,Summer,2005,4.7,ANTHROPOGENIC,TOXICITY,SELECTIVE,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Jul,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
28,28,BUFFALO,WI,UNNAMED SINGLE-LINE STREAM T23N-R13W-S2,WEISENBECK VALLEY CREEK,2048500,104421,104421,56,13-Jul-05,Summer,Summer,2005,0.96,ANTHROPOGENIC,TOXICITY,TOTAL,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Jul,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
78,78,COLUMBIA,WI,ROWAN CREEK,ROWAN CREEK NEAR POYNETTE STP [FISH INVESTIGATION],1263700,2072,113004,2439,24-Sep-11,Summer,Summer,2011,0.25,ANTHROPOGENIC,TOXICITY,SELECTIVE,SUSPECTED,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Sep,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
79,79,COLUMBIA,WI,SPRING CREEK,LODI SPRING CREEK,1261900,104449,104449,26,28-Jun-04,Summer,Summer,2004,0.05,UNKNOWN,TOXICITY,SELECTIVE,UNKNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Jun,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
84,84,DANE,WI,BADGER MILL CREEK,BADGER MILL CREEK - STH. 69 UPSTREAM TO FENCELINE IN PASTURE,888100,129973,10011966,2934,11-Jul-12,Summer,Summer,2012,1,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,SELECTIVE,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Jul,Excludable,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,87,DANE,WI,LAKE MENDOTA,LAKE MENDOTA_GENERAL LAKE STATION,805400,122559,10001207,1364,19-Apr-09,Summer,Winter,2009,15,UNKNOWN,UNKNOWN,SELECTIVE,UNKNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Apr,UNKNOWN,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,99,DANE,WI,SIXMILE CREEK,SIXMILE CREEK,805500,104419,104419,45,3-Jul-01,Summer,Summer,2001,1,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,SELECTIVE,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Jul,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
101,101,DANE,WI,WEST BRANCH SUGAR RIVER,WEST BRANCH SUGAR RIVER AT SCHLIMGEN RD,886100,65251375,10037878,2980,22-Jul-12,Summer,Summer,2012,1,ANTHROPOGENIC,TOXICITY,SELECTIVE,SUSPECTED,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Jul,Few,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
106,106,DODGE,WI,BUTLER CREEK,BUTLER CREEK,857500,104436,104436,21,9-Apr-04,Summer,Winter,2004,2,ANTHROPOGENIC,ENVIRONMENTAL CONDITION,TOTAL,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Apr,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
107,107,DODGE,WI,BUTLER CREEK,BUTLER CREEK,857500,104455,104455,55,13-Jun-05,Summer,Summer,2005,2,ANTHROPOGENIC,TOXICITY,TOTAL,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Jun,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
111,111,DODGE,WI,NO NAME CREEK,NO NAME CREEK AT ZION CHURCH RD - SUNSET FARMS,866200,30185840,10030505,1590,27-Aug-09,Summer,Summer,2009,6.14,ANTHROPOGENIC,TOXICITY,TOTAL,SUSPECTED,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Aug,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1,1,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,3
112,112,DODGE,WI,ROCK RIVER,ROCK RIVER (HORICON MARSH UPSTREAM) - JOHN DEERE MANUFACTURING PLANT,788800,104418,104418,38,31-Jan-05,Winter,Winter,2005,0.1,ANTHROPOGENIC,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Jan,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
113,113,DODGE,WI,ROCK RIVER,"ROCK RIVER AT HUSTISFORD, WI",788800,2768,143341,1753,25-May-10,Summer,Winter,2010,0.6,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,SELECTIVE,SUSPECTED,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,May,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
116,116,DODGE,WI,ROCK RIVER,ROCK RIVER-HORICON,788800,104407,104407,413,4-Jun-07,Summer,Summer,2007,0.1,UNKNOWN,ENVIRONMENTAL CONDITION,TOTAL,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Jun,Excludable,,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
119,119,DOOR,WI,AHNAPEE RIVER,AHNAPEE RIVER - AHNAPEE RIVER 100 FEET BELOW MILL POND,94800,10088788,10012296,1189,30-Jun-08,Summer,Summer,2008,0.25,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,TOTAL,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Jun,UNKNOWN,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
152,152,GRANT,WI,MISSISSIPPI RIVER,MISSISSIPPI RIVER POOL 10,721000,104466,104466,110,14-May-07,Summer,Winter,2007,NA,ANTHROPOGENIC,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,May,Excludable,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1
154,154,GRANT,WI,SINSINAWA RIVER,"SINSINAWA RIVER, SMB 1, FISH LANE",940200,19385929,10021757,1560,17-Aug-09,Summer,Summer,2009,2.5,ANTHROPOGENIC,TOXICITY,SELECTIVE,SUSPECTED,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Aug,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
159,159,IOWA,WI,LIVINGSTON BR,LIVINGSTON BRANCH S OF CTH X,932700,104457,104457,72,5-Nov-05,Winter,Winter,2005,3,ANTHROPOGENIC,ENVIRONMENTAL CONDITION,TOTAL,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Nov,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
161,161,IOWA,WI,PECATONICA RIVER,PECATONICA RIVER,889100,104416,104416,35,13-Oct-04,Winter,Winter,2004,5.6,ANTHROPOGENIC,TOXICITY,TOTAL,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Oct,Large Number,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
162,162,IOWA,WI,UNNAMED SINGLE-LINE STREAM T5N-R1E-S23,UNNAMED TRIB OF PECATONICA N OF FARM ON NORMS RD,5037944,104417,104417,36,13-Oct-04,Winter,Winter,2004,0.82,ANTHROPOGENIC,TOXICITY,TOTAL,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Oct,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
164,164,JACKSON,WI,SOUTH FORK HALLS CREEK,SOUTH FORK HALLS CREEK,1713300,132300,10014000,3431,23-Oct-13,Winter,Winter,2013,3,ANTHROPOGENIC,TOXICITY,SELECTIVE,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Oct,Few,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,6
173,173,KEWAUNEE,WI,EAST TWIN RIVER,EAST TWIN RIVER,84000,104445,104445,96,13-Jul-06,Summer,Summer,2006,3,ANTHROPOGENIC,TOXICITY,TOTAL,SUSPECTED,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Jul,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
175,175,KEWAUNEE,WI,KEWAUNEE RIVER,KEWAUNEE RIVER AT RENDEZVOUS ROAD,90700,29385046,10029953,1349,13-Apr-09,Summer,Winter,2009,10,ANTHROPOGENIC,TOXICITY,TOTAL,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Apr,Few,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
179,179,LA CROSSE,WI,DUTCH CREEK,DUTCH CREEK,1654100,22753880,10022839,802,22-Sep-07,Summer,Summer,2007,9.4,ANTHROPOGENIC,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Sep,Fair Number,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
180,180,LA CROSSE,WI,LAKE ONALASKA,MISSISSIPPI RIVER,728100,104461,104461,86,27-Sep-05,Summer,Summer,2005,0.5,ANTHROPOGENIC,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Sep,Excludable,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
190,190,LAFAYETTE,WI,HIDDEN VALLEY LAKE 1,UN LAKE (HIDDEN VALLEY),903450,104452,104452,42,4-Apr-05,Summer,Winter,2005,3,ANTHROPOGENIC,TOXICITY,SELECTIVE,SUSPECTED,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Apr,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
191,191,LAFAYETTE,WI,MADDEN BR,MADDEN BRANCH,939100,104451,104451,41,4-Feb-05,Winter,Winter,2005,3,ANTHROPOGENIC,TOXICITY,TOTAL,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Feb,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
192,192,LAFAYETTE,WI,OTTER CREEK,OTTER CREEK,923300,104450,104450,30,23-Jul-04,Summer,Summer,2004,10,ANTHROPOGENIC,TOXICITY,TOTAL,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Jul,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
193,193,LAFAYETTE,WI,PECATONICA RIVER,PECATONICA RIVER,889100,104413,104413,29,23-Jul-04,Summer,Summer,2004,29,ANTHROPOGENIC,TOXICITY,SELECTIVE,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Jul,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
221,221,MANITOWOC,WI,CALVIN CREEK,CALVIN CREEK,66900,104443,104443,68,30-Sep-05,Summer,Summer,2005,2,UNKNOWN,TOXICITY,SELECTIVE,UNKNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Sep,Few,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
223,223,MANITOWOC,WI,FISCHER CREEK,FISCHER CREEK,65800,104441,104441,65,13-Sep-05,Summer,Summer,2005,4,ANTHROPOGENIC,TOXICITY,TOTAL,KNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Sep,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
231,231,MANITOWOC,WI,MANITOWOC RIVER,MANITOWOC RIVER,71000,104442,104442,67,30-Sep-05,Summer,Summer,2005,1,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,TOTAL,UNKNOWN,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,Sep,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
