Event,Event_Original,County,State,Waterbody.Name,Station.Name,WBIC,Site.Seq.No,Swims.Station.Id,Fishkill.Inv.Seq.No,Investigation.Start.Date,Season,Season1,Year,Stream.Miles.or.Lake.Acres.Affected,Cause.Category,Cause.Type,Mortality.Code,Confidence.Of.Cause.Code,Cause.Group,Cause.Detail,Investigation.Start.Month,Min.Kill.Size,Max.Kill.Size,Sunnies,Bluegill,Crappie,Bass,Bullhead,Suckerfish,Trout,Gizzard.Shad,Round.Goby,Cisco,Pike,Snail,Muskies,Walleye,Carp,Freshwater.Drum,Perch,Catfish,Sculpin,Stickleback,Minnow,Bigmouth.Buffalo,Pumpkinseed,Drum,Darter,Dace,Chub,Crayfish,Shorthead.Redhorse,Frogs,Sunfish,Golden.Shiner,Bowfin,Dogfish,Sturgeon,Fish.Species
383,383,POLK,WI,BALSAM LAKE,BALSAM LAKE_GENERAL LAKE STATION,2620600,122032,10004773,2264,16-Jun-11,Summer,Summer,2011,500,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,COLUMNARIS,Jun,Large Number,,UNKNOWN,UNKNOWN,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1
384,384,POLK,WI,BEAR TRAP LAKE,BEAR TRAP LAKE_GENERAL LAKE STATION,2618100,122051,10004985,2261,17-Jun-11,Summer,Summer,2011,241,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,UNKNOWN INFECTIOUS AGENT,Jun,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
385,385,POLK,WI,BIG BUTTERNUT LAKE,BIG BUTTERNUT LAKE_GENERAL LAKE STATION,2641000,122072,10005033,1395,8-Jun-09,Summer,Summer,2009,378,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,COLUMNARIS,Jun,Fair Number,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
386,386,POLK,WI,BIG LAKE,BIG LAKE_GENERAL LAKE STATION,2615900,122082,10004774,1405,9-Jun-09,Summer,Summer,2009,259,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,COLUMNARIS,Jun,Few,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
387,387,POLK,WI,BIG ROUND LAKE,BIG ROUND LAKE_GENERAL LAKE STATION,2627400,109154,10004785,1172,20-Jun-08,Summer,Summer,2008,1054,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,COLUMNARIS,Jun,Large Number,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
388,388,POLK,WI,BONE LAKE,BONE LAKE - BONE LAKE,2628100,9107,494026,2262,20-Jun-11,Summer,Summer,2011,1781,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,COLUMNARIS,Jun,Large Number,,UNKNOWN,UNKNOWN,UNKNOWN,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1
389,389,POLK,WI,BONE LAKE,BONE LAKE_GENERAL LAKE STATION,2454400,109257,10004804,1804,12-Jun-10,Summer,Summer,2010,1781,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,COLUMNARIS,Jun,Large Number,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
391,391,POLK,WI,CEDAR LAKE,CEDAR LAKE,2615100,72536,10004778,3317,24-Jun-13,Summer,Summer,2013,1107,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,COLUMNARIS,Jun,Large Number,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
392,392,POLK,WI,CEDAR LAKE,CEDAR LAKE_GENERAL LAKE STATION,2615100,122167,10004778,8,7-Jun-04,Summer,Summer,2004,NA,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,COLUMNARIS,Jun,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
395,395,POLK,WI,HORSE LAKE,HORSE LAKE_GENERAL LAKE STATION,2616200,110657,10004979,1396,8-Jun-09,Summer,Summer,2009,228,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,COLUMNARIS,Jun,Few,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
396,396,POLK,WI,HORSESHOE LAKE,HORSESHOE LAKE_GENERAL LAKE STATION,2630100,110684,10000830,1454,16-Jun-09,Summer,Summer,2009,377,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,COLUMNARIS,Jun,UNKNOWN,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
397,397,POLK,WI,LARGON LAKE,LARGON LAKE_GENERAL LAKE STATION,2668100,122593,10005052,454,31-May-07,Summer,Winter,2007,129,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,COLUMNARIS,May,UNKNOWN,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
399,399,POLK,WI,LOTUS LAKE,EAST LAKE_GENERAL LAKE STATION,2616900,109982,10004982,1460,19-Jun-09,Summer,Summer,2009,246,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,COLUMNARIS,Jun,Large Number,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
400,400,POLK,WI,LOVELESS LAKE,LOVELESS LAKE_GENERAL LAKE STATION,2620000,122655,10004786,1174,20-Jun-08,Summer,Summer,2008,141,NATURAL,INFECTIOUS AGENTS,SELECTIVE,KNOWN,INFECTIOUS,COLUMNARIS,Jun,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
401,401,POLK,WI,MAGNOR LAKE,MAGNOR LAKE_GENERAL LAKE STATION,2624600,111652,10004789,1179,22-Jun-08,Summer,Summer,2008,231,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,INFECTIOUS,COLUMNARIS,Jun,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1
