"","WBIC","site_id"
"202",2046300,"nhd_13393367"
"203",1016800,"nhd_13393515"
"204",2046600,"nhd_13120970"
"205",983600,"nhd_13393549"
"206",1599400,"nhd_13393725"
"207",2323000,"nhd_13346614"
"208",2279400,"nhd_13349384"
"209",2498600,"nhd_1852741"
"210",2261900,NA
"211",1600000,"nhd_13396007"
"212",2272600,"nhd_12988539"
"213",2456100,"nhd_2264045"
"214",990700,"nhd_13394267"
"215",2646500,"nhd_2643626"
"216",1980500,NA
"217",1583000,"nhd_13394665"
"218",1837200,NA
"219",2244200,"nhd_12991537"
"220",642100,"nhd_6842675"
"221",1001300,"nhd_13394733"
"222",1523600,"nhd_13394649"
"223",1957600,NA
"224",1580400,"nhd_13394777"
"225",1538600,"nhd_13394115"
"226",2542200,NA
"227",2681600,NA
"228",1882900,"nhd_13121154"
"229",2277600,"nhd_13349624"
"230",1580200,"nhd_13394777"
"231",2105100,"nhd_13078811"
"232",2238100,NA
"233",2113000,"nhd_13078713"
"234",1518200,"nhd_13395071"
"235",500000,"nhd_6819500"
"236",1466200,"nhd_14729130"
"237",2472300,"nhd_2647116"
"238",1483200,"nhd_14726508"
"239",2616100,"nhd_13105149"
"240",1942600,NA
"241",2361900,"nhd_13121396"
"242",1178000,"nhd_13395143"
"243",502200,NA
"244",396700,"nhd_9022747"
"245",1555500,"nhd_13395379"
"246",2621600,"nhd_2644332"
"247",2457400,"nhd_2644282"
"248",2097100,"nhd_13081129"
"249",613300,"nhd_6819424"
"250",610700,"nhd_6847749"
"251",2096700,NA
"252",2348700,"nhd_13124320"
"253",2490400,"nhd_2647228"
"254",531300,NA
"255",2615100,"nhd_2647328"
"256",198100,"nhd_9026587"
"257",2151000,"nhd_13105759"
"258",2485500,"nhd_2647788"
"259",2858300,"nhd_1803593"
"260",379100,NA
"261",521400,"nhd_6819874"
"262",418000,"nhd_6808506"
"263",1766600,"nhd_13131991"
"264",2152100,"nhd_13104051"
"265",189500,"nhd_9029637"
"266",299200,"nhd_9029899"
"267",299100,"nhd_9029899"
"268",414900,"nhd_6800754"
"269",2133200,"nhd_13097764"
"270",1403600,"nhd_14701884"
"271",1410300,"nhd_167120891"
"272",2599000,"nhd_2260853"
"273",2470800,"nhd_2260749"
"274",2770300,"nhd_1816245"
"275",2742100,"nhd_2260935"
"276",2901100,"nhd_1816151"
"277",2501700,"nhd_2260791"
"278",2770500,NA
"279",2467100,"nhd_1852725"
"280",1599600,"nhd_13396007"
"281",1004500,"nhd_13393647"
"282",1600200,"nhd_13396013"
"283",1541500,"nhd_13393747"
"284",2392000,"nhd_13121080"
"285",2253400,"nhd_12991247"
"286",672300,"nhd_6842425"
"287",1016200,"nhd_13394025"
"288",2459500,"nhd_2646378"
"289",1555400,"nhd_13395373"
"290",2211300,"nhd_12979571"
"291",634300,"nhd_120052171"
"292",2171000,"nhd_13104043"
"293",2171600,"nhd_13103947"
"294",458700,"nhd_6808690"
"295",523300,"nhd_6819790"
"296",326400,"nhd_9029805"
"297",779500,"nhd_13296408"
"298",277800,"nhd_9035765"
"299",198000,"nhd_9035817"
"300",1788300,"nhd_2731780"
"301",40900,"nhd_12161342"
"302",1286500,"nhd_13652604"
"303",1286100,"nhd_13652612"
"304",1641400,"nhd_13205684"
"305",861900,"nhd_13289550"
"306",742275,"nhd_14767182"
"307",779300,"nhd_13294464"
"308",406400,"nhd_120053482"
"309",809800,"nhd_13291034"
"310",6100,NA
"311",881600,NA
"312",777800,"nhd_13296526"
"313",886000,"nhd_13424945"
"314",1717700,"nhd_13135119"
"315",1653500,"nhd_2454776"
"316",1275500,"nhd_13653696"
"317",1663400,NA
"318",2502200,"nhd_2260735"
"319",2310400,"nhd_13343156"
"320",2934000,"nhd_1813891"
"321",1880100,NA
"322",2732200,"nhd_1849679"
"323",2299900,"nhd_13345476"
"324",2301800,"nhd_13345454"
"325",2728700,"nhd_1849829"
"326",2695800,"nhd_1849929"
"327",1823500,NA
"328",149800,"nhd_6866325"
"329",1354300,"nhd_14705974"
"330",46750,NA
"331",751100,"nhd_14768008"
"332",772000,"nhd_14767156"
"333",778500,"nhd_13294534"
"334",822200,"nhd_13294494"
"335",820800,"nhd_13294582"
"336",770500,"nhd_14767658"
"337",818700,"nhd_13294716"
"338",781250,"nhd_13294916"
"339",349600,NA
"340",2935600,"nhd_1813691"
"341",2900200,"nhd_1816509"
"342",2600800,"nhd_2261061"
"343",2694000,"nhd_1849589"
"344",2959700,"nhd_6792111"
"345",2307300,"nhd_13343174"
"346",2961600,"nhd_6792345"
"347",1844300,"nhd_13345364"
"348",2459700,"nhd_1849729"
"349",2313100,"nhd_13345520"
"350",1629500,"nhd_13391565"
"351",1979100,NA
"352",2491100,"nhd_2266577"
