"","site_id","lat","long","year","month","fishkill.inv.seq.no","cause.group","anthropogenic","infectious","summerkill","thermal_stress","unknown","winterkill"
"76","nhd_120052041","45.49596096","-93.93744063","2005","jun","92","infectious",0,1,0,0,0,0
"77","nhd_22321609","47.66988994","-94.88876055","2005","jun","93","infectious",0,1,0,0,0,0
"79","nhd_2385496","44.70063382","-93.47393938","2005","jun","97","infectious",0,1,0,0,0,0
"80","nhd_1099172","45.09179754","-93.46332218","2005","jun","98","infectious",0,1,0,0,0,0
"81","nhd_2650216","45.35151844","-93.10771975","2005","jun","99","infectious",0,1,0,0,0,0
"82","nhd_1099140","45.10908146","-93.22874702","2005","jun","100","infectious",0,1,0,0,0,0
"83","nhd_2439808","44.03284961","-92.45710574","2005","jun","103","infectious",0,1,0,0,0,0
"84","nhd_1855117","45.98660083","-92.08007371","2005","jun","104","infectious",0,1,0,0,0,0
"85","nhd_2723763","45.31742652","-94.03925905","2005","jun","105","infectious",0,1,0,0,0,0
"86","nhd_1855411","45.91840533","-92.03857997","2005","jun","106","infectious",0,1,0,0,0,0
"87","nhd_2264087","45.83989908","-91.82496915","2005","jun","107","infectious",0,1,0,0,0,0
"88","nhd_2723403","45.44648361","-94.0449562","2005","jun","108","anthropogenic",1,0,0,0,0,0
"89","nhd_1799681","46.62410774","-92.45966384","2005","jun","109","unknown",0,0,0,0,1,0
"90","nhd_2266531","45.82651967","-92.32196459","2005","jun","110","summerkill",0,0,1,0,0,0
"91","nhd_2034063","43.89157965","-93.34907033","2005","jul","111","infectious",0,1,0,0,0,0
"92","nhd_14726284","45.37450514","-89.20725604","2005","jul","112","summerkill",0,0,1,0,0,0
"94","nhd_2423307","44.14013492","-94.61240974","2005","jul","116","summerkill",0,0,1,0,0,0
"95","nhd_120053321","45.20829686","-93.99639833","2005","jul","118","summerkill",0,0,1,0,0,0
"96","nhd_1099500","45.03060623","-93.41547368","2005","jul","119","summerkill",0,0,1,0,0,0
"97","nhd_2439808","44.03284961","-92.45710574","2005","jul","120","infectious",0,1,0,0,0,0
"99","nhd_10595756","44.0481717","-93.87552076","2005","aug","122","unknown",0,0,0,0,1,0
"100","nhd_1099450","45.03514563","-93.12234022","2005","aug","123","summerkill",0,0,1,0,0,0
"101","nhd_1099370","45.05503776","-93.43318157","2005","aug","126","anthropogenic",1,0,0,0,0,0
"102","nhd_4141906","44.18645696","-94.01703794","2005","aug","127","unknown",0,0,0,0,1,0
"103","nhd_13630667","43.53082613","-89.25405711","2005","aug","129","summerkill",0,0,1,0,0,0
"104","nhd_4620676","46.64569493","-94.23088279","2005","aug","130","unknown",0,0,0,0,1,0
"105","nhd_1873493","44.65432575","-92.71523537","2005","aug","132","infectious",0,1,0,0,0,0
"106","nhd_4141906","44.18645696","-94.01703794","2005","sep","133","infectious",0,1,0,0,0,0
"108","nhd_4123858","44.40466547","-96.35823491","2005","sep","135","unknown",0,0,0,0,1,0
"109","nhd_14618590","43.61533593","-95.61783041","2005","sep","136","unknown",0,0,0,0,1,0
"110","nhd_2454776","43.9081651","-91.05495245","2005","oct","143","winterkill",0,0,0,0,0,1
"113","nhd_7014051","43.67206093","-92.9718386","2005","dec","147","unknown",0,0,0,0,1,0
"115","nhd_6842491","45.83886943","-88.67546577","2006","feb","154","winterkill",0,0,0,0,0,1
"117","nhd_1099316","45.06947947","-93.01733835","2006","apr","157","summerkill",0,0,1,0,0,0
"118","nhd_9026391","45.43506901","-88.94646064","2006","apr","158","winterkill",0,0,0,0,0,1
"119","nhd_2032055","44.23047642","-93.60773045","2006","apr","159","summerkill",0,0,1,0,0,0
"120","nhd_13652594","43.64752218","-90.34383424","2006","apr","160","winterkill",0,0,0,0,0,1
"121","nhd_4250418","45.1742503","-93.74340625","2006","may","162","unknown",0,0,0,0,1,0
"123","nhd_1852599","45.95832817","-91.94317308","2006","may","164","infectious",0,1,0,0,0,0
"124","nhd_13395257","45.55722544","-89.7317286","2006","jun","165","infectious",0,1,0,0,0,0
"125","nhd_2721861","45.35987337","-93.9590564","2006","jun","167","summerkill",0,0,1,0,0,0
