site_id,year,cause.group,anthropogenic,infectious,summerkill,thermal_stress,unknown,winterkill,min_air,mean_air,max_air,variance_after_ice_60,schmidt,cumulative_above_0,cumulative_above_5,cumulative_above_10,ice_duration,log_schmidt,lon,lat,population
nhd_7014051,2003,unknown,0,0,0,0,1,0,34.45,44.74166666666667,55.025,0.140739768,819.1123432,4209.355152,2841.472496,1842.100441,133,6.708221257838671,-92.97183859832005,43.67206092775046,NA
nhd_7014051,2004,none,0,0,0,0,0,0,35.475,45.233333333333334,55.00833333333333,0.213312343,908.8662146,4232.217749,2830.652154,1769.82506,123,6.812197915690491,-92.97183859832005,43.67206092775046,NA
nhd_7014051,2005,none,0,0,0,0,0,0,36.13333333333333,46.166666666666664,56.18333333333334,0.231895174,1010.688272,4350.829613,3040.851582,1996.915299,127,6.918386845068616,-92.97183859832005,43.67206092775046,NA
nhd_7014051,2006,none,0,0,0,0,0,0,37.608333333333334,47.05833333333333,56.50833333333333,0.151468369,927.0561187,4229.816416,2868.791901,1917.816922,129,6.832014112492292,-92.97183859832005,43.67206092775046,NA
nhd_7014051,2007,none,0,0,0,0,0,0,34.94166666666667,44.6,54.25833333333333,0.146846915,1006.207705,4434.853203,3104.274139,2086.260748,131,6.913943805489561,-92.97183859832005,43.67206092775046,NA
nhd_7014051,2008,none,0,0,0,0,0,0,33.18333333333333,42.916666666666664,52.666666666666664,0.186155288,735.7159043,4055.750463,2777.599318,1806.863954,141,6.600844058211669,-92.97183859832005,43.67206092775046,NA
nhd_7014051,2009,none,0,0,0,0,0,0,34.175,43.708333333333336,53.225,0.103038855,816.1450643,3951.28698,2632.922539,1685.362838,141,6.704592126294201,-92.97183859832005,43.67206092775046,NA
nhd_7014051,2010,none,0,0,0,0,0,0,34.56666666666667,44.50833333333333,54.44166666666667,0.28369073,1033.859233,4353.039508,3057.888353,2022.260437,117,6.941053917175339,-92.97183859832005,43.67206092775046,NA
nhd_7014051,2011,none,0,0,0,0,0,0,35.641666666666666,45.016666666666666,54.44166666666666,0.190814851,958.1986764,4078.749947,2831.689222,1889.104014,141,6.865055153544304,-92.97183859832005,43.67206092775046,NA
nhd_7014051,2012,none,0,0,0,0,0,0,38.15,48.75833333333333,59.375,0.268330489,998.6880115,4430.140297,3036.204778,1959.73405,122,6.906442439084839,-92.97183859832005,43.67206092775046,NA
nhd_7014051,2013,none,0,0,0,0,0,0,33.766666666666666,42.95,52.15833333333333,0.217924236,983.387186,4132.149166,2770.00658,1865.105374,131,6.891002934758848,-92.97183859832005,43.67206092775046,NA
nhd_7014051,2014,none,0,0,0,0,0,0,17.14,26.84,36.5,0.193916802,943.845569,3993.625153,2698.041383,1749.551071,150,6.84996257119678,-92.97183859832005,43.67206092775046,NA
nhd_1101882,2003,summerkill,0,0,1,0,0,0,35.34166666666667,44.7,54.075,0.170024731,1077.697004,4417.415646,3073.67901,2075.582586,146,6.982581648883535,-93.56473256014829,44.89662952698612,NA
nhd_1101882,2004,none,0,0,0,0,0,0,35.983333333333334,44.875,53.74166666666667,0.18373976,973.2307057,4298.356874,2928.857494,1886.947054,141,6.88062117196084,-93.56473256014829,44.89662952698612,NA
nhd_1101882,2005,none,0,0,0,0,0,0,37.74166666666667,46.425,55.09166666666667,0.294019751,1280.496938,4607.563975,3240.135358,2168.747008,124,7.155003522192772,-93.56473256014829,44.89662952698612,NA
nhd_1101882,2006,none,0,0,0,0,0,0,38.791666666666664,47.44166666666667,56.108333333333334,0.252190798,1152.463678,4330.44588,3053.796533,2110.698774,133,7.049657267216091,-93.56473256014829,44.89662952698612,NA
nhd_1101882,2007,none,0,0,0,0,0,0,37.19166666666666,45.9,54.625,0.112379791,1050.071219,4482.607481,3203.812859,2212.23263,134,6.956613277993591,-93.56473256014829,44.89662952698612,NA
nhd_1101882,2008,none,0,0,0,0,0,0,33.63333333333333,42.891666666666666,52.13333333333333,0.153518517,778.9093207,4168.627807,2878.289378,1901.5087,138,6.6578946471839755,-93.56473256014829,44.89662952698612,NA
nhd_1101882,2009,none,0,0,0,0,0,0,35.041666666666664,43.8,52.55833333333334,0.13010756,899.3574366,4128.586023,2789.454355,1840.077474,142,6.801680560119687,-93.56473256014829,44.89662952698612,NA
nhd_1101882,2010,none,0,0,0,0,0,0,37.1,45.93333333333334,54.791666666666664,0.30206056,1327.008801,4537.974905,3207.800129,2156.041303,115,7.190682674099162,-93.56473256014829,44.89662952698612,NA
nhd_1101882,2011,none,0,0,0,0,0,0,37.025,45.86666666666667,54.666666666666664,0.170975372,1166.457992,4214.311856,2995.455609,2067.803543,144,7.061727087384284,-93.56473256014829,44.89662952698612,NA
nhd_1101882,2012,none,0,0,0,0,0,0,40.09166666666667,49.6,59.09166666666667,0.236785887,1112.709977,4636.923358,3221.717042,2147.013317,122,7.014553748588461,-93.56473256014829,44.89662952698612,NA
nhd_1101882,2013,none,0,0,0,0,0,0,33.983333333333334,42.90833333333333,51.825,0.16296201,1149.375207,4207.547106,2913.112191,2014.11602,134,7.046973784156828,-93.56473256014829,44.89662952698612,NA
nhd_1101882,2014,none,0,0,0,0,0,0,16.439999999999998,26.38,36.32,0.221716042,1094.523723,4135.53264,2855.401593,1909.020735,149,6.998074600601741,-93.56473256014829,44.89662952698612,NA
nhd_2384572,2003,summerkill,0,0,1,0,0,0,35.975,45.475,54.96666666666667,0.135364385,780.6183573,4255.230706,2919.65488,1926.649959,147,6.660086384190422,-93.46881122801076,44.886451608929626,NA
